Value.date,Value.code,Value.open,Value.high,Value.low,Value.close,Value.change,Value.pctChange,Value.accumulatedVol,Value.accumulatedVal,Value.nmVolume,Value.nmValue,Value.ptVolume,Value.ptValue
2022-06-24,VNINDEX,1190.82,1196.85,1185.48,1185.48,-3.4,-0.285983,478685295,1.018E+13,410876800,8.47518E+12,67808495,1.70478E+12
2022-06-23,VNINDEX,1162.06,1188.88,1162.06,1188.88,19.61,1.677115,440781740,1.01595E+13,380442900,8.71286E+12,60338840,1.44667E+12
2022-06-22,VNINDEX,1180.11,1185.86,1162.98,1169.27,-3.2,-0.272928,592476031,1.33146E+13,529135300,1.19133E+13,63340731,1.4013E+12
2022-06-21,VNINDEX,1172.98,1189.97,1162.94,1172.47,-7.93,-0.671806,694932235,1.5769E+13,607711900,1.35863E+13,87220335,2.1827E+12
2022-06-20,VNINDEX,1218.37,1221.6,1180.4,1180.4,-36.9,-3.031299,669545030,1.54395E+13,620002900,1.40236E+13,49542130,1.4159E+12
2022-06-17,VNINDEX,1210.5,1220.41,1191.92,1217.3,-19.33,-1.563119,738577752,1.73337E+13,684022500,1.56507E+13,54555252,1.68301E+12
2022-06-16,VNINDEX,1227.24,1246.32,1223,1236.63,22.7,1.86996,561693405,1.47492E+13,522295400,1.38163E+13,39398005,9.32988E+11
2022-06-15,VNINDEX,1231.23,1235.56,1195.19,1213.93,-16.38,-1.331372,688119659,1.64665E+13,626914600,1.4784E+13,61205059,1.68254E+12
2022-06-14,VNINDEX,1213.44,1239.36,1211.13,1230.31,3.27,0.266495,560885130,1.45158E+13,519177100,1.31418E+13,41708030,1.37406E+12
2022-06-13,VNINDEX,1251.08,1261.54,1226.01,1227.04,-57.04,-4.442091,733451730,1.85233E+13,709415500,1.77659E+13,24036230,7.57402E+11
2022-06-10,VNINDEX,1298.78,1309.59,1284.08,1284.08,-23.72,-1.813733,603294320,1.69572E+13,561068400,1.55259E+13,42225920,1.43132E+12
2022-06-09,VNINDEX,1310.35,1312.44,1300.85,1307.8,-0.11,-0.00841,465657985,1.26802E+13,436340700,1.18764E+13,29317285,8.03837E+11
2022-06-08,VNINDEX,1297.56,1316.78,1294.27,1307.91,16.56,1.282379,584570959,1.67567E+13,543305900,1.56775E+13,41265059,1.07919E+12
