Currency,Date,Closing Price (VND),Open (VND),High (VND),Low (VND),,,
VNINDEX,2/11/2015,581.76,574.88,581.76,574.88,,,
VNINDEX,2/12/2015,584.67,582.52,584.99,581.86,,,
VNINDEX,2/13/2015,587.24,586.26,589.02,585.6,,,
VNINDEX,2/24/2015,596.95,590.18,596.95,589.74,,,
VNINDEX,2/25/2015,592.66,596.9,601.55,592.66,,,
VNINDEX,2/26/2015,596.72,593.95,597.07,591.78,,,
VNINDEX,2/27/2015,592.57,598,598.4,590.58,,,
VNINDEX,3/2/2015,590.73,591.75,593.72,588.59,,,
VNINDEX,3/3/2015,596.72,590.42,597.45,590.42,,,
VNINDEX,3/4/2015,600.39,598.49,600.69,595.34,,,
VNINDEX,3/5/2015,596.91,601.08,602.4,596.75,,,
VNINDEX,3/6/2015,593.97,596.42,598.33,592.71,,,
VNINDEX,3/9/2015,588.44,594.08,596.32,587.27,,,
VNINDEX,3/10/2015,589.66,586.38,591.17,586.38,,,
VNINDEX,3/11/2015,586.54,589.04,590.56,586.49,,,
VNINDEX,3/12/2015,588.53,585.89,589.67,585.48,,,
VNINDEX,3/13/2015,586.1,589.04,591.75,586.1,,,
VNINDEX,3/16/2015,580.8,583.26,586.19,580.55,,,
VNINDEX,3/17/2015,581.76,580.6,583.59,580.6,,,
VNINDEX,3/18/2015,578.68,580.81,581.53,577.26,,,
VNINDEX,3/19/2015,573.74,579.39,580.32,573.52,,,
VNINDEX,3/20/2015,575.44,572.57,577.56,571.92,,,
VNINDEX,3/23/2015,570.89,576.64,579.39,570.44,,,
VNINDEX,3/24/2015,567.43,569.33,569.91,562.07,,,
VNINDEX,3/25/2015,560.93,567.62,568.4,559.87,,,
VNINDEX,3/26/2015,556.16,556.12,559.68,553.19,,,
VNINDEX,3/27/2015,551.42,558.93,561.13,549.65,,,
VNINDEX,3/30/2015,545.19,551.75,554.26,545.07,,,
VNINDEX,3/31/2015,551.13,544.87,552.72,544.87,,,
VNINDEX,4/1/2015,538.91,550.8,551.69,537.3,,,
VNINDEX,4/2/2015,546.85,540.54,546.85,536.87,,,
